Nome,Categoria,Duracao,Imagem
Tropicaliente,Novelas,50.22,https://s2.glbimg.com/fsb4YULUWm3uiiLr6PuOhOgpmSA=/362x536/https://s2.glbimg.com/BobkWlsOpJT4abpnaOYRJDjamNk=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/S/h/iSScBgQ0O3wMn0e1pTUQ/2022-2641-tropicaliente-poster.jpg
Amar a Morte,Novelas,52.62,https://br.web.img2.acsta.net/pictures/22/04/06/19/24/3340765.jpg
Renascer,Novelas,63.76,https://www.justwatch.com/images/poster/253629868/s332/temporada-1
O Salvador da Pátria,Novelas,62.96,https://s2.glbimg.com/yRR3U8CZs1I2K-FQqXe7KPTC37g=/0x0:362x536/984x0/smart/filters:strip_icc()/i.s3.glbimg.com/v1/AUTH_e84042ef78cb4708aeebdf1c68c6cbd6/internal_photos/bs/2021/x/P/WNrOMBQeAPu53qMAfvow/2021-o-salvador-patria-poster-1-.jpg
Guerra dos Sexos,Novelas,44.55,https://s2.glbimg.com/HqlAhlgmJE-ZD1ykTeYV37dAcuM=/362x536/https://s2.glbimg.com/fjOgMEJmXO9Cw43WyQXCn7NfDvo=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/Y/A/vT8rmAQVavIIF7gZcwlA/2022-2906-guerra-dos-sexos-poster.jpg
Mulheres Apaixonadas,Novelas,91.66,https://s2.glbimg.com/euAtHbfhB5pvXbAhsRYGn4RxArM=/362x536/https://s2.glbimg.com/wu-g3Hjclzt3m7mXB_SFv9AXodc=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2020/J/H/A2GEAHREG7AtyIX04nTg/2020-1007-mulheres-apaixonadas-poster-1-.jpg
Cobras & Lagartos,Novelas,55.36,https://s2.glbimg.com/NqIsgHecwmG-9mSHnQAAr-B5-wA=/362x536/https://s2.glbimg.com/U_tSIveAw35fxK33ak0McTvZU3w=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/L/s/FvceKCQimAxYFjEoXJtg/2022-2731-cobras-e-lagartos-poster.jpg
Que Rei Sou Eu?,Novelas,45.69,https://s2.glbimg.com/mFnh0KYSmCCHdbZqRtvmoqowCrM=/362x536/https://s2.glbimg.com/7nRLQRnsj1zFS8HbMSgYpic0Kx4=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/i/g/myO5W1QUGVaclrOpvZmg/2022-2724-que-rei-sou-eu-poster.jpg
Senhora do Destino,Novelas,70.30,https://s2.glbimg.com/oM3DOf505QfPqgySA52yxis2ink=/362x536/https://s2.glbimg.com/mT7m8gFeLnmT_G8XWC2u_wrlS7E=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2022/z/5/NEhxHQT6uAzVbT7yBM5Q/2022-3012-senhora-do-destino-poster.jpg
A Dona do Pedaço,Novelas,65.30,https://s2.glbimg.com/yPQV3ywFeHzfRfZK7vV5yY5_huw=/362x536/https://s2.glbimg.com/tT9bueUtg9i0480rEMOeCo-Ojxk=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2019/0/q/7eCYAGR7yriQtHGOqa0A/dona-do-pedaco-poster-web.jpg
A Usurpadora,Novelas,44.54,https://s2.glbimg.com/7uv5e1YxiP8UXVLF671Y6Ba2OAk=/362x536/https://s2.glbimg.com/G_TyHh0IWsaL-_eKaUEipRHkCkA=/i.s3.glbimg.com/v1/AUTH_c3c606ff68e7478091d1ca496f9c5625/internal_photos/bs/2021/S/O/217rvFQ7aF9XToyoNyAQ/2021-2379-a-usurpadora-poster.jpg
